isin,company_name_owners,owners_cat,symbol,company_name_cand,owner_flag,owner_flag_ai,owner_flag_final
INE115A01026,LIC HOUSING FINANCE LTD,State,LICHSGFIN,LIC Housing Finance Limited,excluded_no_natural_no_holding,,NOT_OWNER
INE117A01022,ABB INDIA LTD,MNC,ABB,ABB India Limited,ambiguous_holding_foreign,ai_mnc,NOT_OWNER
INE118A01012,BAJAJ HOLDINGS AND INVESTMEN,Owner,BAJAJHLDNG,Bajaj Holdings & Investment Limited,owner_confirmed_individual_and_director,,OWNER
INE118D01016,NUVOCO VISTAS CORP LTD,Owner,NUVOCO,Nuvoco Vistas Corporation Limited,owner_confirmed_individual,,OWNER
INE118H01025,BSE LTD,Professional,,,,,
INE119A01028,BALRAMPUR CHINI MILLS LTD,Owner,BALRAMCHIN,Balrampur Chini Mills Limited,owner_confirmed_individual_and_director,,OWNER
INE120A01034,CARBORUNDUM UNIVERSAL LTD,Owner,CARBORUNIV,Carborundum Universal Limited,owner_confirmed_individual_and_director,,OWNER
INE121A01024,CHOLAMANDALAM INVESTMENT AND,Owner,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,owner_confirmed_individual_and_director,,OWNER
INE121E01018,JSW ENERGY LTD,Owner,JSWENERGY,JSW Energy Limited,owner_confirmed_individual_and_director,,OWNER
INE121J01017,INDUS TOWERS LTD,Owner,INDUSTOWER,Indus Towers Limited,owner_confirmed_director_only,,OWNER
INE123F01029,MMTC LTD,State,MMTC,MMTC Limited,excluded_state_dominant,,NOT_OWNER
INE123W01016,SBI LIFE INSURANCE CO LTD,State,SBILIFE,SBI Life Insurance Company Limited,owner_confirmed_director_only,,OWNER
INE124G01033,DELTA CORP LTD,Owner,DELTACORP,Delta Corp Limited,owner_confirmed_individual_and_director,,OWNER
INE126A01031,EID PARRY INDIA LTD,Owner,EIDPARRY,EID Parry India Limited,owner_confirmed_individual_and_director,,OWNER
INE126J01016,APOLLO PIPES LTD,Owner,APOLLOPIPE,Apollo Pipes Limited,owner_confirmed_individual_and_director,,OWNER
INE127D01025,HDFC ASSET MANAGEMENT CO LTD,Professional,HDFCAMC,HDFC Asset Management Company Limited,owner_confirmed_director_only,,OWNER
INE128S01021,FIVE-STAR BUSINESS FINANCE L,Owner,FIVESTAR,Five-Star Business Finance Limited,owner_confirmed_individual_and_director,,OWNER
INE128X01021,ARCHEAN CHEMICAL INDUSTRIES,Owner,ACI,Archean Chemical Industries Limited,owner_confirmed_individual_and_director,,OWNER
INE129A01019,GAIL INDIA LTD,State,GAIL,GAIL (India) Limited,excluded_state_dominant,,NOT_OWNER
INE131A01031,GUJARAT MINERAL DEV CORP LTD,State,GMDCLTD,Gujarat Mineral Development Corporation Limited,excluded_state_dominant,,NOT_OWNER
INE134E01011,POWER FINANCE CORPORATION,State,PFC,Power Finance Corporation Limited,excluded_state_dominant,,NOT_OWNER
INE136B01020,CYIENT LTD,Owner,CYIENT,Cyient Limited,owner_confirmed_individual_and_director,,OWNER
INE138Y01010,KFIN TECHNOLOGIES LTD,Professional,KFINTECH,Kfin Technologies Limited,ambiguous_holding_foreign,ai_professional,NOT_OWNER
INE139A01034,NATIONAL ALUMINIUM CO LTD,State,NATIONALUM,National Aluminium Company Limited,excluded_state_dominant,,NOT_OWNER
INE139R01012,FUSION FINANCE LTD,Owner,FUSION,Fusion Finance Limited,ambiguous_mnc_jv_candidate,ai_owner,OWNER
INE140A01024,PIRAMAL ENTERPRISES LTD,Owner,,,,,
INE142Q01026,SULA VINEYARDS LTD,Owner,SULA,Sula Vineyards Limited,owner_probable_nri_family,ai_owner,OWNER
INE144Z01023,TARSONS PRODUCTS LTD,Owner,TARSONS,Tarsons Products Limited,owner_confirmed_individual_and_director,,OWNER
INE146L01010,KIRLOSKAR OIL ENGINES LTD,Owner,KIRLOSENG,Kirloskar Oil Engines Limited,owner_confirmed_individual_and_director,,OWNER
INE148O01028,DELHIVERY LTD,Professional,,,,,
INE149A01033,CHOLAMANDALAM FINANCIAL HOLD,Owner,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,owner_confirmed_individual,,OWNER
INE150G01020,LUX INDUSTRIES LTD,Owner,LUXIND,Lux Industries Limited,owner_confirmed_individual,,OWNER
INE151A01013,TATA COMMUNICATIONS LTD,Professional,TATACOMM,Tata Communications Limited,owner_confirmed_director_only,,OWNER
INE152A01029,THERMAX LTD,Owner,THERMAX,Thermax Limited,owner_confirmed_individual_and_director,,OWNER
INE152M01016,TRIVENI TURBINE LTD,Owner,TRITURBINE,Triveni Turbine Limited,owner_confirmed_individual_and_director,,OWNER
INE153T01027,BLS INTERNATIONAL LTD,Owner,BLS,BLS International Services Limited,owner_confirmed_individual_and_director,,OWNER
INE154A01025,ITC LTD,Professional,,,,,
INE158A01026,HERO MOTOCORP LTD,Owner,HEROMOTOCO,Hero MotoCorp Limited,owner_confirmed_individual_and_director,,OWNER
INE160A01022,PUNJAB NATIONAL BANK,State,PNB,Punjab National Bank,excluded_state_dominant,,NOT_OWNER
INE163A01018,NOCIL LTD,Owner,NOCIL,NOCIL Limited,owner_confirmed_individual_and_director,,OWNER
INE164A01016,BALMER LAWRIE & CO LTD,State,,,,,
INE168A01041,JAMMU & KASHMIR BANK LTD,State,J&KBANK,The Jammu & Kashmir Bank Limited,excluded_state_dominant,,NOT_OWNER
INE169A01031,COROMANDEL INTERNATIONAL LTD,Owner,COROMANDEL,Coromandel International Limited,owner_confirmed_individual_and_director,,OWNER
INE171A01029,FEDERAL BANK LTD,Professional,,,,,
