symbol,company_name,isin,series,listing_date,face_value,industry,sector,basic_industry,macro,is_fno,last_price,previous_close,year_high,year_low,ffmc,pct_change_30d,pct_change_365d,fetched_at
AIMTRON,,,EQ,,,SM,,,,,892.0,885.4,1040.0,472.0,,,,2026-04-14T01:22:41.013948+00:00
ASHALOG,,,EQ,,,SM,,,,,68.7,68.2,92.6,50.0,,,,2026-04-14T01:22:41.013948+00:00
RBS,,,EQ,,,SM,,,,,89.1,88.45,143.0,58.8,,,,2026-04-14T01:22:41.013948+00:00
WOL3D,,,EQ,,,SM,,,,,157.5,156.4,209.95,106.65,,,,2026-04-14T01:22:41.013948+00:00
OLIL,,,EQ,,,SM,,,,,322.25,320.5,355.0,154.25,,,,2026-04-14T01:22:41.013948+00:00
MADHUSUDAN,,,EQ,,,SM,,,,,156.45,155.65,190.0,108.6,,,,2026-04-14T01:22:41.013948+00:00
SURANI,,,EQ,,,ST,,,,,123.9,123.3,139.0,47.3,,,,2026-04-14T01:22:41.013948+00:00
KKJEWELS,,,EQ,,,SM,,,,,104.95,104.45,166.75,72.1,,,,2026-04-14T01:22:41.013948+00:00
RTL,,,EQ,,,ST,,,,,88.3,87.9,100.9,54.0,,,,2026-04-14T01:22:41.013948+00:00
AVIANSH,,,EQ,,,SM,,,,,111.5,111.0,123.5,95.0,,,,2026-04-14T01:22:41.013948+00:00
USASEEDS,,,EQ,,,SM,,,,,116.0,115.5,220.08,90.0,,,,2026-04-14T01:22:41.013948+00:00
NMSTEEL,,,EQ,,,SM,,,,,24.0,23.9,39.15,17.4,,,,2026-04-14T01:22:41.013948+00:00
SHEETAL,,,EQ,,,ST,,,,,256.0,255.0,264.95,86.0,,,,2026-04-14T01:22:41.013948+00:00
ATCENERGY,,,EQ,,,SM,,,,,31.4,31.3,115.35,19.35,,,,2026-04-14T01:22:41.013948+00:00
MAGSON,,,EQ,,,SM,,,,,190.0,189.4,196.0,100.5,,,,2026-04-14T01:22:41.013948+00:00
BLUEWATER,,,EQ,,,SM,,,,,162.0,161.5,187.2,125.4,,,,2026-04-14T01:22:41.013948+00:00
CADSYS,,,EQ,,,SM,,,,,47.95,47.8,99.9,35.6,,,,2026-04-14T01:22:41.013948+00:00
NIKITA,,,EQ,,,SM,,,,,113.85,113.5,156.0,77.15,,,,2026-04-14T01:22:41.013948+00:00
PRATHAM,,,EQ,,,SM,,,,,131.0,130.6,216.8,102.55,,,,2026-04-14T01:22:41.013948+00:00
TUNWAL,,,EQ,,,SM,,,,,33.7,33.6,49.8,27.05,,,,2026-04-14T01:22:41.013948+00:00
LRRPL,,,EQ,,,SM,,,,,75.0,74.8,99.5,53.15,,,,2026-04-14T01:22:41.013948+00:00
AATMAJ,,,EQ,,,SM,,,,,20.15,20.1,25.5,16.5,,,,2026-04-14T01:22:41.013948+00:00
INTEGRITY,,,EQ,,,SM,,,,,115.5,115.25,145.1,81.7,,,,2026-04-14T01:22:41.013948+00:00
ORIANA,,,EQ,,,SM,,,,,1938.0,1934.15,3064.0,1286.2,,,,2026-04-14T01:22:41.013948+00:00
CHETANA,,,EQ,,,SM,,,,,40.0,39.95,129.0,30.1,,,,2026-04-14T01:22:41.013948+00:00
INNOMET,,,EQ,,,SM,,,,,90.0,89.9,216.0,63.15,,,,2026-04-14T01:22:41.013948+00:00
FOCE,,,EQ,,,SM,,,,,551.5,551.0,835.0,510.83,,,,2026-04-14T01:22:41.013948+00:00
POSITRON,,,EQ,,,SM,,,,,161.0,160.9,420.0,105.9,,,,2026-04-14T01:22:41.013948+00:00
ACCPL,,,EQ,,,SM,,,,,77.0,77.0,102.5,53.8,,,,2026-04-14T01:22:41.013948+00:00
ACTIVEINFR,,,EQ,,,SM,,,,,170.05,170.05,190.0,147.05,,,,2026-04-14T01:22:41.013948+00:00
AGUL,,,EQ,,,SM,,,,,72.0,72.0,86.0,37.3,,,,2026-04-14T01:22:41.013948+00:00
AILIMITED,,,EQ,,,SM,,,,,35.95,35.95,90.9,23.75,,,,2026-04-14T01:22:41.013948+00:00
AMIABLE,,,EQ,,,SM,,,,,0.0,70.0,98.5,54.0,,,,2026-04-14T01:22:41.013948+00:00
ARIHANTACA,,,EQ,,,SM,,,,,480.0,480.0,555.0,250.0,,,,2026-04-14T01:22:41.013948+00:00
ARISTO,,,EQ,,,SM,,,,,85.7,85.7,145.3,74.3,,,,2026-04-14T01:22:41.013948+00:00
ASHWINI,,,EQ,,,SM,,,,,143.0,143.0,167.8,120.0,,,,2026-04-14T01:22:41.013948+00:00
AUROIMPEX,,,EQ,,,SM,,,,,33.45,33.45,60.0,21.25,,,,2026-04-14T01:22:41.013948+00:00
BALAJIPHOS,,,EQ,,,SM,,,,,104.0,104.0,184.7,97.2,,,,2026-04-14T01:22:41.013948+00:00
BALCO,,,EQ,,,SM,,,,,16.95,16.95,40.0,13.4,,,,2026-04-14T01:22:41.013948+00:00
BEACON,,,EQ,,,SM,,,,,83.95,83.95,102.5,50.0,,,,2026-04-14T01:22:41.013948+00:00
BIRDYS,,,EQ,,,SM,,,,,111.0,111.0,154.0,90.55,,,,2026-04-14T01:22:41.013948+00:00
BLUEPEBBLE,,,EQ,,,ST,,,,,149.0,149.0,222.5,88.0,,,,2026-04-14T01:22:41.013948+00:00
BMETRICS,,,EQ,,,SM,,,,,40.9,40.9,56.9,34.1,,,,2026-04-14T01:22:41.013948+00:00
BOSS,,,EQ,,,SM,,,,,38.0,38.0,56.3,35.75,,,,2026-04-14T01:22:41.013948+00:00
BULKCORP,,,EQ,,,SM,,,,,46.0,46.0,94.6,43.25,,,,2026-04-14T01:22:41.013948+00:00
CBAZAAR,,,EQ,,,SM,,,,,5.0,5.0,8.0,3.05,,,,2026-04-14T01:22:41.013948+00:00
CLSL,,,EQ,,,SM,,,,,45.0,45.0,62.8,39.45,,,,2026-04-14T01:22:41.013948+00:00
CPS,,,EQ,,,SM,,,,,940.0,940.0,1349.25,590.0,,,,2026-04-14T01:22:41.013948+00:00
DELAPLEX,,,EQ,,,SM,,,,,104.0,104.0,194.85,81.15,,,,2026-04-14T01:22:41.013948+00:00
DESTINY,,,EQ,,,SM,,,,,123.45,123.45,143.0,74.8,,,,2026-04-14T01:22:41.013948+00:00
DHTL,,,EQ,,,SM,,,,,40.0,40.0,125.2,36.9,,,,2026-04-14T01:22:41.013948+00:00
DKEGL,,,EQ,,,SM,,,,,76.8,76.8,89.6,56.5,,,,2026-04-14T01:22:41.013948+00:00
DRSDILIP,,,EQ,,,ST,,,,,119.5,119.5,119.5,52.25,,,,2026-04-14T01:22:41.013948+00:00
DYNAMIC,,,EQ,,,SM,,,,,136.7,136.7,187.2,84.7,,,,2026-04-14T01:22:41.013948+00:00
EMAPARTNER,,,EQ,,,SM,,,,,76.0,76.0,133.0,65.25,,,,2026-04-14T01:22:41.013948+00:00
EPWINDIA,,,EQ,,,SM,,,,,119.0,119.0,130.0,98.0,,,,2026-04-14T01:22:41.013948+00:00
ETL,,,EQ,,,SM,,,,,955.0,955.0,1235.0,721.1,,,,2026-04-14T01:22:41.013948+00:00
FIDEL,,,EQ,,,SM,,,,,144.5,144.5,234.0,108.1,,,,2026-04-14T01:22:41.013948+00:00
