symbol,isin,company_name,is_owner_company,owner_family,owner_flag,owner_flag_final_hybrid,yaml_classification,promoter_total_pct,natural_pct_sum,in_rev1,rev1_category,is_nifty50,is_nifty100,is_nifty200,is_nifty500,is_nifty_total_mkt,nse_fetch_status
TECHM,INE669C01036,Tech Mahindra Limited,True,Mahindra,owner_confirmed_director_only,OWNER,OWNER,34.98,0.07,True,Owner,True,True,True,True,True,ok
AEGISLOG,INE208C01025,Aegis Logistics Limited,True,Malhotra (Aegis),excluded_no_natural_no_holding,OWNER,OWNER,58.1,5.05,True,Owner,False,False,False,True,True,ok
AEGISVOPAK,INE0INX01018,Aegis Vopak Terminals Limited,True,Malhotra (Aegis),owner_confirmed_director_only,OWNER,OWNER,86.93,0.08,False,,False,False,False,True,True,ok
BHARTIARTL,INE397D01024,Bharti Airtel Limited,True,Mittal,owner_confirmed_director_only,OWNER,OWNER,48.87,0.02,True,Owner,True,True,True,True,True,ok
BHARTIHEXA,INE343G01021,Bharti Hexacom Limited,True,Mittal,ambiguous_holding_indian,OWNER,OWNER,70.0,0.0,False,,False,False,False,True,True,ok
INDUSTOWER,INE121J01017,Indus Towers Limited,True,Mittal,owner_confirmed_director_only,OWNER,OWNER,51.03,0.0,True,Owner,False,False,True,True,True,ok
ESCORTS,INE042A01014,Escorts Kubota Limited,True,Nanda,ambiguous_mnc_jv_candidate,OWNER,OWNER,68.04,1.29,True,Owner,False,False,False,True,True,ok
PATANJALI,INE619A01035,Patanjali Foods Limited,True,Patanjali,owner_confirmed_director_only,OWNER,OWNER,68.26,0.0,True,Owner,False,False,True,True,True,ok
POONAWALLA,INE511C01022,Poonawalla Fincorp Limited,True,Poonawalla,owner_confirmed_director_only,OWNER,OWNER,63.93,0.06,True,Owner,False,False,False,True,True,ok
HAVELLS,INE176B01034,Havells India Limited,True,Rai Gupta (Havells),owner_confirmed_director_only,OWNER,OWNER,59.38,0.25,True,Owner,False,False,True,True,True,ok
PARKHOSPS,INE119201023,Park Medi World Limited,True,Rai Gupta (Havells),owner_confirmed_individual_and_director,OWNER,OWNER,82.89,82.89,False,,False,False,False,False,True,ok
PGEL,INE457L01029,PG Electroplast Limited,True,Rai Gupta (Havells),owner_confirmed_individual_and_director,OWNER,OWNER,43.41,43.58,True,Owner,False,False,False,True,True,ok
TRIDENT,INE064C01022,Trident Limited,True,Rajinder Gupta (Trident),owner_confirmed_director_only,OWNER,OWNER,73.68,0.0,True,Owner,False,False,False,True,True,ok
STYRENIX,INE189B01011,Styrenix Performance Materials Limited,True,Shiva Performance Materials (Vadodara independent),owner_confirmed_director_only,OWNER,OWNER,46.24,0.0,False,,False,False,False,False,True,ok
SHRIRAMFIN,INE721A01047,Shriram Finance Limited,True,Shriram,owner_confirmed_director_only,OWNER,OWNER,20.3,0.01,True,Owner,True,True,True,True,True,ok
GREAVESCOT,INE224A01026,Greaves Cotton Limited,True,Thapar,owner_confirmed_director_only,OWNER,OWNER,55.8,0.0,True,Owner,False,False,False,False,True,ok
